PaperID,Authors,Article Title,Year,Source title,Abstract
505,Vasca F.; Iannelli L.; Camlibel M.K.; Frasca R.,A new perspective for modeling power electronics converters: Complementarity framework,2009,IEEE Transactions on Power Electronics,"The switching behavior of power converters with ""ideal"" electronic devices (EDs) makes it difficult to define a switched model that describes the dynamics of the converter in all possible operating conditions, i.e., a ""complete"" model. Indeed, simplifying assumptions on the sequences of modes are usually adopted, also in order to obtain averaged models and discrete-time maps. In this paper, we show how the complementarity framework can be used to represent complete switched models of a wide class of power converters, with EDs having characteristics represented by piecewise-affine (even complicated) relations. The model equations can be written in an easy and compact way without the enumeration of all converter modes, eventually formalizing the procedure to an algorithm. The complementarity model can be used to perform transient simulations and time-domain analysis. Mathematical tools coming from nonlinear programming allow to simulate numerically the transient behavior of even complex power converters. Also rigorous time-domain analysis is possible without excluding pathological situations like, for instance, inconsistent initial conditions and simultaneous switchings. Basic converter topologies are used as examples to show the construction procedure for the complementarity models and their usefulness for simulating the dynamic evolution also for nontrivial operating conditions. © 2009 IEEE."
506,Li L.; Peng T.; Ding H.; Han X.; Xia Z.; Ding T.; Chen J.; Wang J.; Xie J.; Wang S.; Duan X.; Wang C.; Herlach F.; Vanacken J.; Pan Y.,Wuhan pulsed high magnetic field center,2008,"Proceedings of the 11th International Conference on Electrical Machines and Systems, ICEMS 2008","Wuhan Pulsed High Magnetic Field Facility is under development. Magnets of bore sizes from 12 to 34 mm with the peak field in the range of 50 to 80 T have been designed. The pulsed power supplies consists of a 12 MJ, 25 kV capacitor bank and a 100 MVA/100 MJ flywheel pulse generator. A prototype 1 MJ, 25 kV capacitor bank is under construction. Five magnets wound with CuNb wire and copper wire reinforced internally with Zylon fiber composites and externally with stainless steel shells have been developed to be tested to verify the design. The design and analysis of the power supplies, the pulsed magnets and the inductors for the protection of the thyristor switches are presented in this paper."
507,Zutavern F.J.; Reed K.W.; Glover S.F.; Mar A.; Ruebush M.H.; Horry M.L.; Swalby M.E.; Alexander J.A.; Smith T.L.; White F.E.,Fiber-optic controlled PCSS triggers for high voltage pulsed power switches,2007,Digest of Technical Papers-IEEE International Pulsed Power Conference,"Triggers for high voltage (HV) switches have always been critical components for reliable, efficient pulsed power systems because they control the timing synchronization and amplitude variation of multiple pulse forming lines that combine to produce the total system output pulse. In pulsed power systems of the future, the role of trigger systems are even more critical as they trigger more components and produce shaped-pulses by independent timing of individual switches or switch groups. Conventional trigger systems require high voltage trigger cables or line-of-sight optics that complicate design, demand space, and require extensive maintenance. With electrical triggers, large diameter, high voltage transmission line cables must be fed through high field regions. With optical triggers, line-of-sight optics must focus high energy laser beams to the interior of the switches with clean, rigidly-mounted, shock-withstanding optics. This paper reports on efforts to develop fiber-optically triggered photoconductive semiconductor switches (PCSS) to trigger high voltage switches with improved precision and eliminate the need for large-diameter trigger cables or line-of-sight optics. These triggers simplify design because their optical-isolation allows them to ""float"" with the switches that they trigger and have truly independent EMP-free timing control over 200 micron diameter optical fibers. They improve the performance of prime power switches, diverters, and diagnostics because their low-jitter sub-nanosecond rise times are more precise and more easily adjusted than conventional trigger sources. For pulse charged switches, the PCSS triggers can generally derive their trigger energy from the stray fields of the high voltage switch. Test results will be presented that have demonstrated 100 ps r-m-s jitter from a 40 kV, 500 ps rise time, PCSS-triggered 300 kV trigatron gas gap. PCSS design requirements, switching properties, and trade-offs for building high voltage trigger systems will also be described based on many previous experiments with PCSS technology [1]. Results from PCSS Blumlein and PCSS capacitive discharge pulsers will be discussed along with the designs to use these pulsers to trigger both DC and pulse charged high voltage switches ©2005 IEEE."
508,Sun X.; Liu Z.-H.; Gao L.-Y.; Ding Y.-G.,Practice and innovation in the ±800 kV UHVDC demonstration project,2009,Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,"The ±800 kV UHVDC transmission system now is the main project for the state grid corporation of China (SGCC) to fulfill the mission of delivering the clean hydropower from Southwest China to East China (the load center), and it is an essential part of China's national energy strategy of 'West-East Power Transmission'. In the process of design and construction of the Xiangjiaba-Shanghai ±800 kV UHVDC project, new design philosophy and technologies are introduced, different from those used in the former HVDC projects by SGCC. All these new design features will be of good reference value for the future HVDC projects. In this paper these features are studied in detail, such as the main circuit design, insulation coordination and external insulation design, main DC equipment (including thyristor valve, converter transformer, smoothing reactor, etc.), control and protection, measures for the high reliability and availability, optimization design of the valve hall and converter transformer yard, features of the DC filter design and DC yard layout, audible noise control, innovative features of the ground electrode, design innovation of the de-icing. © 2009 Chin. Soc. for Elec. Eng."
509,Arnaudov R.; Andonova A.; Kafadarova N.; Andreev S.; Videkov V.,Experimental characterization of 3D micro-contacts,2008,"2008 31st International Spring Seminar on Electronics Technology: Reliability and Life-time Prediction, ISSE 2008","The present article describes the experimental characterization of construction-technology parameters of 3D micro-contacts, implemented in IC package to PCB assembly and micro mechanical actuators. This paper presents experimental results of the horizontal elements investigation, relative to the 3D micro-contacts. Thermal simulations of the proposed structures are also included. This issue is of a great importance, due to the nature of the horizontal elements - actuator type and bending features. The test structures are made electro-chemically of two micro-junction elements: a pin over a chip-carrier and a ring over a substrate-carrier. The tight contact between the pin and the ring during the fitting of micro-junction structures is a guarantee for the electric contact and heat transfer. The thermal optimization of construction-technology parameters of the 3D micro-contacts from stud-ring type is achieved by use of CFD simulations. A 3D numerical model, based on computational fluid dynamics, was constructed to represent the whole package. For the sake of model simplicity, during the modeling procedure it was considered the components that have the most representative size and power dissipation. ©2008 IEEE."
510,Shan R.; Yin Z.; Xiao X.,A novel low harmonic dynamic static var compensator resaerch,2009,"2009 4th IEEE Conference on Industrial Electronics and Applications, ICIEA 2009","A novel SVC topology is proposed in this paper, firstly a multi-winding transformer is adopt to realize 12 ripple, secondly the 5th harmonic filter on system bus as the fundamental reactive power compensation, and control thyristor controlled reactor (TCR) to realize inflow system reactive power, thirdly modularization design is adopted, according to the compensation reactive power only one TCR module is phase controlled. Finally, the experimental result shows that the novel TCR without an additional filter has the advantages of low harmonic, good static and dynamic performance, small volume and etc, compared to traditional TCR. © 2009 IEEE."
511,Teera-achariyakul N.; Hokierti J.,Internal arc pressure assessment of outdoor compact substation,2005,"7th International Power Engineering Conference, IPEC2005","The medium voltage outdoor compact substations (22-33 kV) which are installed in public area should pass the internal arc test according to IEC 62271-200 Annex A for personnel safety. To design and build a prototype outdoor compact substation to withstand internal arc fault and meet all criterion, it needs to predict the arc pressure due to internal arc fault for construction of compact substation. This paper assesses internal arc pressure due to vaporized metal of compact substation in the arc process. Voltage drop of arc is evaluated in order to calculate arc pressure and the value is 22-25 V/cm. Arc energy to vaporize the metal in arc process is found to be 15.5% of three-phase or phase to phase arc energy to vaporize the copper-copper electrodes. The value of 29% of phase to ground arc energy will be used to vaporize the copper electrode and steel housing. Pressure in the compact substation due to internal arc fault is determined and the result is only 5-10% different from the measured values in arcing tests."
512,Parise G.; Martirano L.,Electrical power system in buildings with higher risk for seismic event,2004,Conference Record - IAS Annual Meeting (IEEE Industry Applications Society),"The earthquake can cause serious problems to the functional reliability and continuity of supply of electrical power systems. The paper discusses the need to study the requirements for the design and installation of electrical power systems in buildings subject to seismic hazard. Therefore, it is necessary to recommend mechanical and electrical criteria for the design and the installation, to be graduated according to building occupancy categories (as hospitals, strategic buildings). At least three levels of performances are definable for equipment: -the resistance to the seismic stress, - the guarantee of duty after the earthquake, - the guarantee of duty during and after the earthquake. Basically, the criteria relative to the installation of the electrical equipment are an appropriate extension of those general static ones for non structural components. Their consideration is essential for the settlement of the design criteria, which, as far as the configuration and the size of the electrical power system are concerned, aim at limiting the same installation problems. A special power distribution, ""brush-distribution"", is suitable for the strategic buildings whit higher risk for seismic event This distribution suggests locating, as much as possible, in ground or underground floors the most heavy equipments (transformers, generator sets, motors, panel boards). The electrical loads of building upper floors (inclusive lighting and appliances) has to be subdivided in areas not horizontally in the same level of each floor, but in vertical sectors of the whole building, as ""towers"". Other general design criteria, aimed as a guarantee for the supply continuity, the system reliability and the system protection, have a particular use in these appliances. The paper deals comparing the brush distribution on the basis of the recommendations for the non structural components issued by the National Earthquake Hazard Reduction Program (NEHRP) (edition 2000)."
513,Tiedemann H.; Reiber O.; Gottschalk S.,Reorganizing materials logistics in switchboard plant construction; [Reorganisation der Materialwirtschaft im Schaltanlagenbau],2007,VDI-Z Integrierte Produktion,[No abstract available]
514,Soens H.; De Vries B.,Energy forum. Air insulated control panels. Safe energy distribution also on the high seas; [EnergieForum. Luftisolierte schaltanlagen. Sichere energieverteilung auch auf hoher see],2007,BWK - Energie-Fachmagazin,"Air insulated control panels for average voltages are in use in various equipments in shipbuilding and offshore wind energy facilities. For this purpose the facilities must comply with the new control panel standard IEC 62271-200 and the specific ship building standards. The discussion covers introduction; higher requirements because of the new IEC standard 62271-200; higher requirements for the determination of the disturbing electric arc qualification; and unusual features in shipbuilding. Because of the constantly increasing need for performance in energy distribution on luxury liners, container ships, frigates, and other ships, increasingly average voltage grids (ring and radial mains) are used with air insulated control panels and devices in shipbuilding. Typical system voltages are 6.6 and 11 kv. The reasons for the change from low to average voltage grids are because the high nominal or rated currents above 10k amp have short circuit outputs of over 120 k amp at which low voltage control panels reach their natural limits and because of the greater availability and personal safety of air insulated average voltage control panels. Control panels of the Siemens PTD NXAir family have been reworked according to the IEC 62271-200 standard and specific shipbuilding requirements for use on the high seas. They have high reliability because of modular construction with pressure resistant bulkhead partitions, performing transformer principle, and vacuum circuit breakers. They increase the productivity by modular switchgear panel design, selective cut-offs of junction box errors, and inner disturbing electric arc ruggedness. They save on cost with maintenance-free circuit breakers and heavy duty switches, and long maintenance intervals of over 10 yr. The switches on board ships must also withstand vibrations, shocks, climatic conditions, and increased environmental temperatures (45°C). The relevant standards for all of this are in International Electrotechnical Commission (IEC) norms and the rules of various ship classifications such as the Germanischer Lloyd or Lloyds' Register of Shipping that issue type approval certificates. Photograph and diagrams."
515,Simoes A.M.; Savelli D.C.; Pellanda P.C.; Martins N.; Apkarian P.,Robust design of a TCSC oscillation damping controller in a weak 500-kV interconnection considering multiple power flow scenarios and external disturbances,2009,IEEE Transactions on Power Systems,"The power oscillation damping (POD) controllers implemented in the two thyristor controlled series compensators of the Brazilian North-South (NS) interconnection, in the year 1999, were solely intended to damp the low-frequency NS oscillation mode. These controllers are still under operation and are derived from the modulus of the active power flow in the NS line that is phase-lagged at the frequency of the NS mode and may experience relatively large excursions generated by exogenous disturbances. This paper utilizes the same 1999 data to compare the performance of a proposed robust POD controller design with those of two conventional designs. A recent robust control synthesis algorithm used in this work is based on a nonsmooth optimization technique and has the capability to handle various controller structures, including reduced-order, and to deal with time-domain constraints on both controlled and measured outputs. Moreover, the nonsmooth design technique encompasses multiple operating conditions subject to various test signals, hence building a truly time-domain multi-scenarios approach. According to the results discussed hereafter, this is a key advantage in the industrial context of increasing demand for performance and robustness. The described results relate to a large-scale system model used in the feasibility studies for that interconnection. © 2009 IEEE."
516,Petersen L.,Survivability in naval ship classification,2006,International Conference - Warship 2006: Future Surface Warships,"The survivability of a naval ship is the ability to withstand a defined weapon threat and to maintain at least basic safety and operability of the ship. In this lecture the big variety of measures for increasing survivability is demonstrated on the example of the Classification and Construction Rules for Naval Surface Ships of Germanischer Lloyd. In this paper, the different measures taken to consider and improve the survivability of a naval ship in the Rules for Classification and Construction are displayed. Detailed explanations will be given e.g. for the influence on the hull structure, the propulsion system and power supply. Some are shown below: For the hull structure of a ship e.g., residual strength, shock strength, projectile/splinter protection and structural fire protection have to be considered. The Rules give for all influences recommendations for reduction of harmful effects. For the survival of the propulsion system the degree of redundancy of this system as well as of the steering system is of high importance. Therefore GL has developed three special Class Notations. Also power supply and distribution is decisive. GL recommends therefore for large and medium sized combat ships at least two power stations with related switchboards in a distance as far as possible from each other. Other electrical aspects are explosion protection for areas with military vehicles and special stores and the degaussing of the complete ship. ©2006: Royal Institution of Naval Architects."
517,Severini S.C.,A complex organism,2006,Engineered Systems,"The Centers for Disease Control and Prevention (CDC) is renovating its buildings at its Atlanta campuses, which were built in the 1950s and 1960s, to improve its facilities. These changes include a modern BSL-4 laboratory space, visitor's center, headquarters office building, and a new west campus chiller plant. The east campus will be revitalized with a new 450,000-sq-ft laboratory, an office building, trans-shipping facility and a new electrical switchgear building. A major utility tunnel has been extended from the East Campus Central Utility Plant (CUP) to the north of the campus. CUP delivers chilled water to building through large 200-hp primary chilled water pumps located in the plant. The federal government continues to provide tremendous support for the expansion and modernization of the CDC campus."
518,Du Y.-Q.; Zou X.-B.; Wang X.-X.; Zeng N.-G.,Design of compact table-top X-pinch device,2009,Gaodianya Jishu/High Voltage Engineering,"A dense hot X-pinch plasma, as a pointlike subnanosecond x-ray source with high brightness, is quite suitable for phase-contrast imaging including x-ray microscopy for biology and medicine. We designed a compact table-top x-pinch device including the construction, calculation and emulation. The generator consists of a Marx generator, pulse-forming coaxial water lines, switch blocks and the load section. The Marx generator is composed of four 67 nF/80 kV capacitors and two triple-electrode switching circuits with both positive and negative charging. When working, each capacitor in the Marx generator is charged with 60 kV, and discharges to PFL (pulse forming line), then to the load section through N2 spark gap. The PFL, with the output impendence of 1.5 Ω, is 84cm long corresponding to the output pulse of 50 ns. The original target was to develop a 100 kV, 50 kA system with 50 ns pulse rise time in order to satisfy a load of fine wire x-pinch with a few microns. The whole apparatus is placed in a flat worktable of 1.8 m 0.8 m with four wheels and can move everywhere conveniently."
519,White W.N.; Pahwa A.; Cruz C.,Heat loss from electrical and control equipment in industrial plants: Part I - Methods and scope,2004,ASHRAE Transactions,"Accurate estimates of heat lost by power equipment facilitate proper sizing of cooling and ventilation equipment required by buildings and industrial plants. Information on heat loss is available in papers published in the 1970s and 1980s, but some of the information provided in these papers is dated and, in some cases, includes overly conservative assumptions. The main focus of this paper is to describe an effort to provide updated information on heat losses by various electric power devices. The information was gathered from equipment manufacturers and relevant standards associated with this equipment. Laboratory tests or mathematical simulations were done to determine heat loss for equipment with insufficient information and to verify published data. A calorimeter was constructed for the testing of equipment. The construction and calibration of the calorimeter are described. Test procedures used in acquiring loss data are described. For each equipment item in the scope of the project, a description is provided as to where and how the loss data were obtained. A summary of areas for future investigation is discussed. ©2004 ASHRAE."
520,Eichler M.,Offshore but online,2008,ABB Review,"PCS6000 wind converters from ABB, a semiconductor device developer, have emerged as better solutions for an offshore wind turbine, generating 5MW of power, to connect them to electric grid. The converter correctly fits into the mast of the turbine, efficiently converts generated power to the desired frequency and voltage, and also assists in supporting weak grids by supplying or absorbing reactive power. An standard industrial design of the proposed converter is based on the standard IGCT (integrated gate-commutated thyristors)- power electronics building blocks (PEBB) technology using high power semiconductors, an effective technique enabling the development of the remarkably compact converters. The system will effectively increase the reliability of the novel turbine generation by reducing failure rate. The whole system is based on a PEBB platform, a control platform, and a platform mechanics bringing advantages in terms of costs, quality and reliability."
521,Khan F.H.; Tolbert L.M.,Multiple-load-source integration in a multilevel modular capacitor-clamped DC-DC converter featuring fault tolerant capability,2009,IEEE Transactions on Power Electronics,"A multilevel modular capacitor-clamped dc-dc converter (MMCCC) will be presented in this paper with some of its advantageous features. By virtue of the modular nature of the converter, it is possible to integrate multiple loads and sources with the converter at the same time. The modular construction of the MMCCC topology provides autotransformer-like taps in the circuit, and depending on the conversion ratio of the converter, it becomes possible to connect several dc sources and loads at these taps. The modularity of the new converter is not limited to only this dc transformer (auto) like operation, but also provides redundancy and fault bypass capability in the circuit. Using the modularity feature, some redundant modules can be operated in bypass state, and during some faults, these redundant modules can be used to replace a faulty module to maintain an uninterrupted operation. Moreover, by obtaining a flexible conversion ratio, the MMCCC converter can transfer power in both directions. Thus, this MMCCC topology could be a solution to establish a power management system among multiple sources and loads having different operating voltages. © 2009 IEEE."
522,Liu Y.-F.; Zhou H.,Optimum design of 220 kV outdoor switchgear,2005,Dianli Zidonghua Shebei / Electric Power Automation Equipment,"Saving land occupation and reducing project cost are important in the design of substation switchgear. Several design schemes of 220 kV outdoor switchgear are analyzed, and their differences in land occupation,construction, maintenance and economy are compared.lt is pointed out that the medium type layout becomes again the current trend of 220 kV outdoor switchgear and some improvements and innovations are presented. An optimum design of medium-type scheme using tube bus is adopted in the design of a 220 kV substation, in which a bus group is properly raised to reduce land occupation."
523,,A close second,2005,International Water Power and Dam Construction,"After 20 years of planning, the foundation stone-laying ceremony for the gravity dam at Leibis-Lichte, around 50km south of Erfurt, Germany, finally took place in September 2002. Since then, excavators and bulldozers have been hard at work in the Thuringian Forest near the holiday region of Rennsteig. By mid-2004, the dam had already reached upto some 70m towards its planned crest level of 102.5m. By the beginning of 2005, the second-largest dam in Germany, for a drinking-water reservoir with a capacity of 39.2Mm3, will have been completed. The project, which will be completed well within schedule, is being built by the Leibis-Lichte dam joint venture - Bilfinger Berger AG, Oevermann GmbH & Co. KG, Bickhardt Bau AG, and Max Bögl Bauunternehmung GmbH & Co. KG. Wasserkraft Volk AG, one of the worlds leading manufacturers for small hydro plants up to 10MW, delivered one Crossflow turbine with a capacity of 216kW and one Francis Turbine with a capacity of 488kW, as well as governors, switchboard controls and accessories for the project."
524,Faltin C.,"Arcing faults - Experimental determination of the thermal transfer coefficient relevant for pressure rise, using a realistic switch gear scenario; [Störlichtbogen - Experimentelle Bestimmung des für die Druckentwicklung maßgeblichen Transferkoeffizienten in einem realistischen Schaltanlagenszenarium]",2005,Elektrotechnik und Informationstechnik,"Arcing faults within facilities for electric power distribution imply several rises, one of which is the mechanical stress of the building due to pressure rise. Concerning air-insulated switchgear, an active arc power of some 10 megawatt can be expected. The thermal transfer coefficient kP specifies the amount of the active arc power being converted into pressure rise (mainly by heating the air). Knowledge of kP is essential for calculating this pressure rise, however, values given in literature have been obtained from very different arrangements, mainly with small volumes. They do not always meet practical requirements. This situation suggests an experimental determination of kP using a more practical arrangement, similar to a customary switchgear room."
525,Mills M.,Switchroom delivers the goods,2009,Australian Mining,"Ausenco and Power Electric Switchboards (PES) completed a contract to deliver a prefabricated switchroom to the Carborough Downs Coal Mines near Moranbah in Queensland's Bowen Basin. The company was awarded the contract to design and manufacture the switchroom for the expansion of the mining operations. It designed the layout of the room along with the switchboards and components. The switchroom was designed to withstand the vibrations and movements experienced while being transported and lifted into position at the mining site. It was to be used to control the power distribution for the expansion of the existing Coal Handling Preparation Plant (CHPP). The prefabricated building was equipped with two separate 2500 A double-sided Motor Control Centers (MCCs), ABB variable speed drives, a Programmable Logic Controller (PLC) and control system, and an Uninterruptible Power Supply (UPS)."
526,Imagawa H.; Kobayashi T.; Sato T.; Uehara K.; Shimomura T.; Okada A.,Substation designs for the least environmental impact in Japan,2008,"42nd International Conference on Large High Voltage Electric Systems 2008, CIGRE 2008","""Environmental Technologies"", one of the themes in CIGRE for the last couple of years, have become an important global challenge with the growing environmental awareness. Utilities and manufacturers of substation equipment in Japan have developed and adopted various environmental technologies for environmental protection and impact reduction, since the country is small in land area and densely populated. This paper describes environmental protection technologies that Japanese power industries have collectively developed and adopted for each phase of substation life cycle, which is planning, design, manufacturing, construction and maintenance. Since it provides useful information for the global society, it is well qualified as an article for the CIGRE Paris Convention. The following are its specific contents. -In addition to conventional methods of color and design harmonization with the ambient landscape, 3D(three-dimensional)-CAD landscape simulation is adopted to obtain the understanding of local governments and residents at the substation planning phase. -Close noise analysis using 3D-CAD, which take acoustic reflection and diffraction into account, are implemented for a more accurate acoustic design under strict regulations in such areas as densely populated residential area. -Equipment manufacturers have made their equipment more compact through advanced analysis technologies and reduced LIWV, which results in decreasing SF6 gas use. -Power companies and equipment manufacturers have collaborated in searching for causes of oil leaks, which accounts for about 50% of all troubles for oil-filled transformers. And they have studied countermeasures and developed transformers that are structurally less prone to oil leaks. -Only circuit breakers are replaced at 550kV Gas Insulated Switchgear (GIS) refurbishment, reducing and recycling industrial waste. Power industries are collectively working for recycling and achieving about 90% in recycling rate for transformers and 75-90% for circuit breakers. -Technologies that allow oil leak repairs without stopping equipment have been developed and adopted in order to use substation equipment more efficiently, further enhancing environmental protection."
527,Weigel J.,Designing electrical systems to maximize building and worker safety,2007,Consulting-Specifying Engineer,"The designing of an electrical distribution system to maximize building and worker safety, is discussed. Arcing faults, the most common occurrence in electrical equipment, are said to create more accidents when someone is working on the energized equipment. They produce high amounts of thermal energy, which claims to have threaten the equipment and to anyone nearby. A single main device should be included, while designing switchboards, switchgears, or substations. Specifying barriers, hinged doors, and insulated bus can be good replacements of switchboards and switchgear as barriers helps in avoiding fault propagation, while hinged doors are said to be safer to open than bolted cover. The insulated bus eliminates the possibility shock injury from accidental contact thus, preventing an arcing fault. Designing of an electrical distribution system to offer maximum safety is considered a great business practice for electrical system designers."
528,Tang J.; Wan L.-Y.; Zhang X.-X.; Xie Y.-B.,Constructing dbN complex wavelets for PD signal denoise,2007,Dianli Zidonghua Shebei / Electric Power Automation Equipment,"According to the conditions of orthogonal wavelet construction, the complex wavelets are constructed by replacing the conjugate complex roots, which, compared with db/V real orthogonal wavelets, have the same amplitude spectrum and different phase spectrum. The relationship between the number of conjugate complex root and the number of complex wavelet that can be constructed is indicated. The conditions of constructing complex wavelets are given; if both the absolute value of imaginary part of conjugate complex root and its ratio to the absolute value of real part are less than 0.01, the valid complex wavelets can not be constructed. The db/V complex wavelets are constructed to denoise four typical simulative PD (Partial Discharge) signals. Results show that different types of simulative PD signal have different optimal complex wavelets and the application of complex wavelet in PD signal denoise is more favorable than the real wavelet."
529,Fischer G.; Werth L.; Walther J.-T.; Weiland K.,Trends in the substation control and protection equipment of a.c. railway switchgear systems; [Trends in der Schutz- und Stationsleittechnik bei AC-bahnschaltanlagen],2005,eb - Elektrische Bahnen,"Many user requirements with respect to the protection, control, operation and communication in railway power switchgear systems are met with components from the fields of automation technology and power distribution today. The IEC 61850 standard provides for the initial conditions for a future maker-independent communication between the switchgear components. This leads to a change of both the technology and the users' and suppliers' functions in 'the construction and operation of these systems."
530,,Managing energy needs,2004,Shipping World and Shipbuilder,"The first use of the new energy management system from Siemens on a cruise ship will be on the Grand Princess class vessel under construction for Carnival Corporation by Fincantieri. Siemens will supply power, propulsion and automation technology for the vessel, which is equipped with a diesel-electric propulsion system. The main propulsion system has an output of 42MW and is based on the Simar Drive Synchro concept, whereby a synchronous motor is fed via a supply-side converter, a DC link and a converter at the machine end. The central feature of the new energy management system is the NX Air medium voltage switchgear, which provides 40 kiloamperes of current at a voltage of 11 kilovolts."
531,Newman H.M.,BACnet® at Cornell,2007,ASHRAE Journal,"At the time of this article, we have nearly 2,000 BACnet devices on the Cornell campus, ranging from small application-specific devices to full-scale building controllers. BACnet has allowed us to integrate disparate systems as never before. While most of the BACnet devices are dedicated to HVAC applications, we also have several lighting control and switchgear monitoring systems. In all, we have BACnet equipment from six different suppliers, all happily interoperating. Now, thanks to BACnet, we can quit worrying about getting devices to talk to each other and can get on with the real work: running our campus mechanical equipment as smartly and efficiently as possible."
532,Kamath N.,Detecting laughter: Towards building a humorous machine,2006,AAAI Workshop - Technical Report,Laughter is a common social gesture which often indicates the presence of humor. Detecting laughter and then understanding humor can make machines interact with us in a more natural way. This paper presents an algorithm to automatically detect laughter segments in speech. The voiced laughter of the speaker is recognized and the approximate onsets of the laughter bouts are used to annotate stored conversations. A simple algorithm based on the acoustic properties of voiced laughter is proposed and implemented for the same. The algorithm is able to detect the segments of laughter bouts in data consisting of sentences obtained from the switchboard corpus with an accuracy rate of 77.41% and a false detection rate of 12.90%.
533,Szalkus M.,What is power usage effectiveness?,2008,EC and M: Electrical Construction and Maintenance,"Data centers are making significant efforts to measure their power usages to effectively manage and reduce power consumption. A measure of a facility's total power delivered divided by its IT equipment power usage level, power usage effectiveness (PUE) are becoming more important for data centers. Data centers are highly energy-intensive buildings, which consume 10-100 times more energy per square foot than a typical office building. Facility power-related components include UPS modules, switchgear, generators, power distribution units (PDUs), batteries, lighting, and distribution losses external to the IT equipment. Total facility power loads include cooling system components like chillers, computer room air-conditioning units, direct expansion air handler (DX) units, pumps, and cooling towers. Power measurements enable an IT facility manager to compare their own power usage levels to other data centers."
534,Lönard D.; Northe J.; Stollberg A.,New switchgear concepts for a.c. railway applications; [Neue Schaltanlagenkonzepte für AC-bahnanwendungen],2005,eb - Elektrische Bahnen,The power supply of electrified railway lines has been provided by well-tried supply systems of different rated voltage levels which require a switchgear with one or two-pole insulation and have resulted in various designs also with respect to the insulation concept. The newly developed branch-based line testing system in conjunction with the enlarged TracFeed® series introduced earlier [1] makes it possible to further reduce the size of the switchgear and its buildings.
535,Walker B.; Seastrom J.,Addressing scalability in a laboratory-based multihop wireless testbed,2009,"2009 5th International Conference on Testbeds and Research Infrastructures for the Development of Networks and Communities and Workshops, TridentCom 2009","The MeshTest wireless testbed allows users to conduct repeatable mobile experiments with real radio hardware under controlled conditions. The testbed uses shielded enclosures and a matrix switch of programmable attenuators to produce multi-hop scenarios and simulate the effects of mobility and fading. Previous work focused on the theory and performance of a single-switch testbed. Connecting more than 16 nodes requires multiple matrix switches and introduces theoretical and practical challenges. In this paper we examine, in theoretical and practical terms, several potential designs for a scalable version of the MeshTest testbed. We identify one design that seems to provide the most powerful test environment, and describe our progress towards building it. We also describe our new testbed control architecture, that is an important part of making MeshTest scalable."
536,Pearson L.,New OSVs designed for the future,2004,Diesel and Gas Turbine Worldwide,The modern construction techniques used by Rigdon Marine for constructing OSVs are discussed. The vessels are built in modules in such a way that much of the electrical and virtually all of the piping are complete before the modules are welded together. The propulsion systems of the OSVs consist of a pair of Cummins QSK 60 diesel engines each rated 1825 kW and one Cummins KTA 38 engine rated 910 kW connected to generators. The combined power output of 4560 kW is fed to the main switchboard panel where much of the power is fed to a pair of Steerprop 20 Z drives and a pair of Berg tunnel bow thrusters.
537,Falkingham L.T.; Montillet G.F.,A history of fifty years of vacuum interrupter development. (the english connection),2004,2004 IEEE Power Engineering Society General Meeting,"From the very beginning the UK has significantly contributed to the development of the vacuum interrupter. During the early years of the technology, important techniques and materials were developed which today form the basis of much of modern design. In order to develop viable vacuum interrupters four key technologies are needed. They are discussed in this paper as the ""Contact Material"", the ""Arc Control"", the ""Interrupter Construction"", and the ""Interrupter Manufacture"". The description of the 50-year's contribution of the UK to these four technologies opens the door for a future generation of designers of vacuum circuit breakers."
538,MacH M.; Summer R.,Some aspects of investigation of magnetic fields produced by medium voltage switchgears,2005,"Proceedings of the 3rd International Scientific Symposium on Electric Power Engineering, ELEKTROENERGETIKA 2005","Investigation of magnetic fields in medium voltage switchgears (up to 40 kV) becomes a strongly topical business, which has several reasons. Nowadays, various switchgears and substations of this kind are often installed in densely populated areas (for example in buildings for commercial purposes etc.) and may represent a danger associated with their possibly negative influencing of near low current and telecommunication devices as well as living organisms. Because of a lot of various uncertainties in this domain practically all developed countries accepted corresponding standards that, nevertheless, still substantially differ from one another. The unambiguous trend is (at least within the European Union), however, their unification. Manufacturers and operators of the mentioned appliances must certify them, accordingly, i.e. must guarantee the maximum values of field quantities in its neighborhood. This may be realized by either measurements (that is, however, time consuming, expensive and, under common operation conditions, often complicated) or numerical simulations. The latter way -after validating results by experiments - becomes relatively cheap and offers inclusion of optimization techniques. The authors continue in their work where they suggested a methodology of determining magnetic field distribution in the neighborhood of switchgears that consists of several steps. The basics steps are represented by preprocessing (input of 3D geometry), building of 3D mathematical model, its solution (realized by a combination of ANSYS and a number of user procedures) and consequent verification of results. The paper pays attention mainly to the phase ofpreprocessing (selection of the definition area with boundary conditions, parameters of discretization mesh) and solution. Discussed is accuracy of results and also problems concerning measurements and evaluation of the field distribution. The methodology is illustrated on an example - switchgear substation of type WS, manufacturer Areva Sachsenwerk, Germany. The most important results are compared with measured values. This paper represents one of the results of cooperation between the University of West Bohemia and Areva Sachsenwerk, Germany."
